Begin,Title,Company,Station,Epesodes,Character count,Character count (no space)
1/3/00,POPEE the ぱフォーマー,瑞鷹,KIDS STATION,39,16,14
1/5/00,ブギーポップは笑わない Boogiepop Phantom,マッドハウス,TXN,12,29,27
1/10/00,女神候補生,XEBEC,NHK-BS2,11,5,5
1/10/00,六門天外モンコレナイト,スタジオディーン,TX,51,11,11
1/26/00,風まかせ月影蘭,マッドハウス,WOWOW,13,7,7
1/27/00,OH!スーパーミルクチャン,ぴえろ,WOWOW,12,13,13
2/5/00,マシュランボー,東映アニメーション,EX,32,7,7
2/5/00,マイアミ☆ガンズ,グループ・タック,MBS,13,8,8
2/6/00,おジャ魔女どれみ♯,東映アニメーション,ABC,49,9,9
2/6/00,ニャニがニャンだー ニャンダーかめん,サンライズ,NBN,83,18,17
3/28/00,だぁ!だぁ!だぁ!,J.C.STAFF,NHK-BS2,78,9,9
4/1/00,モンスターファーム 〜伝説への道〜,トムス・エンタテインメント,CBC,25,17,16
4/1/00,GREGORY HORROR SHOW - THE SECOND GUEST -,ミルキーカートゥーン,EX,25,40,33
4/2/00,デジモンアドベンチャー02,東映アニメーション,CX,50,13,13
4/3/00,へろへろくん,スタジオフラッグ、スタジオボギー,NHK教育,104,6,6
4/3/00,ゲートキーパーズ,GONZO,WOWOW,24,8,8
4/4/00,陽だまりの樹,マッドハウス,NTV,25,6,6
4/4/00,幻想魔伝 最遊記,スタジオぴえろ,TX,50,8,7
4/4/00,銀装騎攻オーディアン,プラム,WOWOW,24,10,10
4/4/00,ドキドキ♡伝説 魔法陣グルグル,日本アニメーション,TX,38,15,14
4/5/00,トランスフォーマー カーロボット,ぎゃろっぷ,TX,39,16,15
4/5/00,タイムボカン2000 怪盗きらめきマン,タツノコプロ,TX,26,19,18
4/8/00,サクラ大戦,マッドハウス,TBS、MBS,25,5,5
4/11/00,BOYS BE…,ハルフィルムメーカー,WOWOW,13,8,7
4/11/00,ファーブル先生は名探偵,イージー・フイルム,NHK-BS2,26,11,11
4/14/00,星界の戦旗（第1期）,サンライズ,WOWOW,13,10,10
4/14/00,コレクター・ユイ（第2期）,日本アニメーション,NHK教育,26,13,13
4/15/00,アニメ浪曲紀行 清水次郎長伝,トマソン,MBS,30,14,13
4/17/00,うちゅう人 田中太郎,スタジオ雲雀,TX,24,10,9
4/18/00,遊☆戯☆王デュエルモンスターズ,スタジオぎゃろっぷ,TX,224,15,15
4/19/00,ラブひな,XEBEC,TX,26,4,4
4/20/00,妖しのセレス,スタジオぴえろ,WOWOW,24,6,6
4/26/00,NieA_7,トライアングルスタッフ,WOWOW,13,6,6
7/7/00,メダロット魂,トランス・アーツ,TX,39,6,6
7/7/00,とっとこハム太郎,トムス・エンタテインメント,TX,193,8,8
7/11/00,ストレンジドーン,ハルフィルムメーカー,WOWOW,13,8,8
7/21/00,BRIGADOON まりんとメラン,サンライズ,WOWOW,26,17,16
7/26/00,HAND MAID メイ,ティー・エヌ・ケー,WOWOW,11,12,10
10/2/00,闇の末裔,J.C.STAFF,WOWOW,13,4,4
10/2/00,デジタル所さん,ポリゴン・ピクチュアズ,NTV,245,7,7
10/2/00,ハムスター倶楽部,ベガエンタテイメント,TX,130,8,8
10/3/00,はじめの一歩,マッドハウス,NTV,76,6,6
10/3/00,ヴァンドレッド,GONZO,WOWOW,13,7,7
10/4/00,グラビテーション,スタジオディーン,WOWOW,13,8,8
10/4/00,GEAR戦士電童,サンライズ,TX,38,8,8
10/5/00,アルジェントソーマ,サンライズ,TX,26,9,9
10/6/00,勝負師伝説 哲也,東映アニメーション,EX,20,8,7
10/6/00,BARRY PARTY,,EX,26,11,10
10/6/00,Sci-Fi HARRY,A.P.P.P.,EX、NBN,20,12,11
10/7/00,真・女神転生デビチル,東京ムービー,CBC,50,10,10
10/7/00,GREGORY HORROR SHOW - THE LAST TRAIN -,ミルキーカートゥーン,EX,26,38,31
10/8/00,ベイビーフィリックス,RADIX,NHK教育,65,10,10
10/13/00,無敵王トライゼノン,イージー・フイルム,TBS、MBS、CBC,22,9,9
10/16/00,犬夜叉,サンライズ,YTV,167,3,3
10/16/00,サイバーシックス,トムス・エンタテインメント、NOA,KIDS STATION,13,8,8
10/16/00,人造人間キカイダー THE ANIMATION,RADIX、スタジオOX,KIDS STATION,12,23,21
10/22/00,学校の怪談,スタジオぴえろ,CX,19,5,5
10/24/00,機巧奇傳ヒヲウ戦記,ボンズ,NHK-BS2,26,9,9
11/6/00,ドッとKONIちゃん,シャフト,ANIMAX,26,10,10
12/2/00,すてき!さくらママ,エイケン,BSフジ,18,9,9
12/4/00,ピポパポパトルくん,東映アニメーション,BSフジ,65,9,9
1/6/01,ゾイド新世紀/ゼロ,XEBEC,MBS,26,9,9
1/8/01,グラップラー刃牙,グループ・タック,TXN,24,8,8
1/8/01,爆転シュート ベイブレード,マッドハウス,TX,51,13,12
1/8/01,テイルズ オブ エターニア THE ANIMATION,XEBEC,WOWOW,13,27,23
1/9/01,地球防衛家族,グループ・タック,WOWOW,14,6,6
1/9/01,地球少女アルジュナ,サテライト,TXN,13,9,9
1/17/01,破壊魔定光,スタジオディーン,WOWOW,10,5,5
1/20/01,すしあざらし,M.S.C,EX,30,6,6
2/4/01,も〜っと! おジャ魔女どれみ,東映アニメーション,ABC,50,14,13
2/10/01,イナズマあざらし,,EX,16,8,8
2/18/01,サラリーマン金太郎,ジェイ・シー・エフ,BS-i,20,9,9
3/5/01,Dr.リンにきいてみて!,スタジオコメット,TX,51,12,12
4/1/01,RUN=DIM,,TX,13,7,7
4/1/01,デジモンテイマーズ,東映アニメーション,CX,51,9,9
4/1/01,超GALS! 寿蘭,スタジオぴえろ,TX,52,9,8
4/1/01,機動天使エンジェリックレイヤー,ボンズ,TX,26,15,15
4/1/01,Cosmic Baton Girl コメットさん☆,日本アニメーション,TVO,43,25,22
4/2/01,こみっくパーティー,OLM,UHF,13,9,9
4/3/01,魔法戦士リウイ,J.C.STAFF,WOWOW,24,7,7
4/3/01,スターオーシャンEX,スタジオディーン,TX,26,10,10
4/3/01,ジャングルはいつもハレのちグゥ,シンエイ動画,TX,26,15,15
4/4/01,シスター♥プリンセス,ZEXCS,TXN,26,10,10
4/4/01,新白雪姫伝説プリーティア,ハルフィルムメーカー,WOWOW,13,12,12
4/4/01,The Soul Taker 〜魂狩〜,タツノコプロ,WOWOW,13,19,16
4/5/01,ノワール,ビィートレイン,TX,26,4,4
4/5/01,ジーンシャフト,サテライト、スタジオガゼル,WOWOW,13,7,7
4/5/01,破邪巨星Gダンガイオー,AIC,EX,13,11,11
4/6/01,電脳冒険記ウェブダイバー,RADIX,TX,52,12,12
4/6/01,"Z.O.E Dolores, i",サンライズ,TXN,26,16,14
4/7/01,仰天人間バトシーラー,グループ・タック,TVA,52,10,10
4/7/01,PROJECT ARMS,東京ムービー,TX,26,12,11
4/7/01,ギャラクシーエンジェル（第1期）,マッドハウス,ANIMAX,26,16,16
4/7/01,逮捕しちゃうぞ SECOND SEASON,スタジオディーン,TBS,26,21,19
4/7/01,GREGORY HORROR SHOW - THE BLOODY KARTE -,ミルキーカートゥーン,EX,12,40,33
4/10/01,探偵少年カゲマン,スタジオ雲雀,NHK教育,39,8,8
4/11/01,パチスロ貴族 銀,A-Line,CX,23,8,7
4/12/01,花右京メイド隊,童夢,UHF,12,7,7
4/12/01,鋼鉄天使くるみ2式,OLM,UHF,12,9,9
4/14/01,パラッパラッパー,J.C.STAFF,CX,30,8,8
4/14/01,ゴーゴー五つ子ら・ん・ど,マジックバス,TBS,96,12,12
4/23/01,KEROKERO NEWS SHOW,-,TBS,-,18,16
5/8/01,学園戦記ムリョウ,マッドハウス,NHK-BS2,26,8,8
5/10/01,オフサイド,葦プロダクション,ANIMAX,39,5,5
5/10/01,だいすき! ぶぶチャチャ,童夢,NHK-BS2,26,12,11
5/20/01,チャンス〜トライアングルセッション〜,マッドハウス,TXN,13,18,18
5/27/01,フィギュア17 つばさ&ヒカル,OLM,AT-X,13,15,14
6/4/01,ミニモニ。やるのだぴょん,,TX,70,12,12
7/1/01,まみむめ★もがちょ（3DCG+クレイ）,セガ,TX,13,19,19
7/4/01,スクライド,サンライズ,TX,26,5,5
7/4/01,シャーマンキング,XEBEC,TX,64,8,8
7/4/01,あぃまぃみぃ! ストロベリー・エッグ,ティー・エヌ・ケー,WOWOW,13,18,17
7/5/01,魔法少女猫たると,ティー・エヌ・ケー、マッドハウス,WOWOW,12,8,8
7/5/01,フルーツバスケット,スタジオディーン,TX,26,9,9
7/6/01,コスモウォーリアー零,ベガエンタテイメント,TX,13,10,10
7/7/01,ののちゃん,東映アニメーション,EX,61,5,5
7/11/01,星界の戦旗II,サンライズ,WOWOW,10,7,7
7/23/01,グラップラー刃牙 -最大トーナメント編-,グループ・タック,TXN,24,20,19
7/30/01,SAMURAI GIRL リアルバウトハイスクール,GONZO、ディジメーション,KIDS STATION,13,25,23
8/13/01,砂漠の海賊!キャプテンクッパ,ビィートレイン,NHK-BS2,26,14,14
10/1/01,旋風の用心棒,スタジオぴえろ,NTV,25,6,6
10/1/01,くるくるアミー,トランス・アーツ,TX,65,7,7
10/2/01,ちっちゃな雪使いシュガー,J.C.STAFF,TBS,24,12,12
10/2/01,しあわせソウのオコジョさん,RADIX,TX,51,13,13
10/2/01,FF:U 〜ファイナルファンタジー:アンリミテッド〜,GONZO,TX,25,26,25
10/3/01,X -エックス-,マッドハウス,WOWOW,25,8,7
10/4/01,ナジカ電撃作戦,スタジオ・ファンタジア、アンバーフィルムワークス,UHF,12,7,7
10/4/01,おとぎストーリー 天使のしっぽ,東京キッズ,WOWOW,14,15,14
10/5/01,まほろまてぃっく,GAINAX、シャフト,BS-i,12,8,8
10/5/01,バビル2世（第2作）,ベガエンタテイメント,TXN,13,10,10
10/5/01,ヴァンドレッド the second stage,GONZO,WOWOW,13,24,21
10/6/01,星のカービィ,スタジオ・ザイン,CBC,100,6,6
10/6/01,ストレイシープ ポーのちっちゃな大冒険,,CX,18,19,18
10/6/01,PROJECT ARMS The 2nd Chapter,東京ムービー,TX,26,28,24
10/6/01,ガイスターズ FRACTIONS OF THE EARTH,スタジオ九魔,TVO,26,29,25
10/7/01,キャプテン翼（第3作）,グループ・タック,TX,52,11,11
10/7/01,激闘!クラッシュギアTURBO,サンライズ,NBN,68,15,15
10/10/01,ヒカルの碁,スタジオぴえろ,TX,75,5,5
10/10/01,テニスの王子様,トランス・アーツ,TX,178,7,7
10/10/01,HELLSING,GONZO、ディジメーション,CX,13,8,8
10/11/01,ピロッポ,STUDIO 4℃,CX,23,4,4
10/11/01,ココロ図書館,スタジオディーン,TX、AT-X,13,6,6
10/11/01,神鵰侠侶 コンドルヒーロー,日本アニメーション、JADE ANIMATION,BSフジ,26,13,12
10/13/01,カスミン（第1期）,OLM,NHK教育,26,9,9
10/13/01,バンパイヤン・キッズ,Production I.G,CX,26,10,10
10/13/01,GROOVE ADVENTURE RAVE,スタジオディーン,TBS,51,21,19
10/14/01,サイボーグ009 THE CYBORG SOLDIER,ジャパンヴィステック,TX,51,27,24
11/5/01,こげぱん,スタジオぴえろ,ANIMAX,10,4,4
12/11/01,格闘料理伝説ビストロレシピ,グループ・タック,NHK-BS2,26,13,13
12/11/01,よばれてとびでて!アクビちゃん（第1期）,タツノコプロ,KIDS STATION,13,20,20
1/5/02,きっかけはラフくん,ぎゃろっぷ,CX,34,9,9
1/5/02,パタパタ飛行船の冒険,テレコム・アニメーションフィルム,WOWOW,26,10,10
1/5/02,ぱにょぱにょデ・ジ・キャラット,マッドハウス,ANIMAX,48,15,15
1/7/02,炎の蜃気楼,マッドハウス,KIDS STATION,13,5,5
1/7/02,爆転シュート ベイブレード 2002,日本アニメディア,TX,51,18,16
1/9/02,キン肉マンII世,東映アニメーション,TX,51,8,8
1/10/02,七人のナナ,A・C・G・T,TX,26,5,5
1/10/02,おねがい☆ティーチャー,童夢,WOWOW,13,11,11
1/10/02,アクエリアンエイジ Sign for Evolution,マッドハウス,TXN,13,28,25
1/15/02,フルメタル・パニック!,GONZO、ディジメーション,WOWOW,24,11,11
1/21/02,ラーゼフォン,ボンズ,CX,26,6,6
1/30/02,Kanon（第1作）,東映アニメーション,CX,14,10,10
2/2/02,幻魔大戦 -神話前夜の章-,イージー・フイルム,AT-X,13,13,12
2/3/02,おジャ魔女どれみドッカ〜ン!,東映アニメーション,ABC,51,14,14
2/3/02,ギャラクシーエンジェル（第2期）,マッドハウス,TVO,18,16,16
3/4/02,ロックマンエグゼ,XEBEC,TX,56,8,8
3/28/02,ガンフロンティア,ベガエンタテイメント,AT-X,13,8,8
4/1/02,HAPPY★LESSON THE TV,スタジオ雲雀,UHF,14,19,17
4/2/02,ちょびっツ,マッドハウス,TBS,27,5,5
4/2/02,天地無用! GXP,AIC,NTV,26,9,8
4/2/02,りぜるまいん（第1期）,マッドハウス、IMAGIN,UHF,12,11,11
4/2/02,東京アンダーグラウンド,ぴえろ,TX,26,11,11
4/3/02,.hack//SIGN,ビィートレイン,TXN,27,11,11
4/4/02,アベノ橋魔法☆商店街,GAINAX、マッドハウス,KIDS STATION,13,10,10
4/5/02,爆闘宣言ダイガンダー,ブレインズ・ベース,TX,39,10,10
4/6/02,天使な小生意気,トムス・エンタテインメント,TX,50,7,7
4/6/02,満月をさがして,スタジオディーン,TX,52,7,7
4/6/02,東京ミュウミュウ,ぴえろ,TVA,52,8,8
4/6/02,フォルツァ!ひでまる,ぎゃろっぷ,TX,26,10,10
4/6/02,わがまま☆フェアリー ミルモでポン!,スタジオ雲雀,TX,78,18,17
4/7/02,ぴたテン,マッドハウス,TVO,26,4,4
4/7/02,デジモンフロンティア,東映アニメーション,CX,50,10,10
4/7/02,電光超特急ヒカリアン,東京キッズ,TX,77,10,10
4/8/02,ベイベーばあちゃん,-,NHK教育,53,9,9
4/8/02,レッチュ ゲッチュ サルゲッチュ,-,TX,76,16,14
4/8/02,あずまんが大王 THE ANIMATION,J.C.STAFF,TXN,26,21,19
4/9/02,十二国記（第1期）,ぴえろ,NHK-BS2,39,9,9
4/10/02,藍より青し,J.C.STAFF,CX,24,5,5
4/19/02,あたしンち,シンエイ動画,EX,330,5,5
4/27/02,ワイルド7 another 謀略運河,イージー・フイルム,AT-X,13,18,16
5/6/02,ホイッスル!,スタジオコメット,ANIMAX,39,6,6
5/15/02,王ドロボウJING,スタジオディーン,NHK-BS2,13,9,9
7/1/02,SAMURAI DEEPER KYO,スタジオディーン,TXN,26,18,16
7/2/02,G-onらいだーす♥,ティー・エヌ・ケー、シャフト,WOWOW,14,10,10
7/2/02,Witch Hunter ROBIN,サンライズ,TXN,26,18,16
7/3/02,朝霧の巫女,カオスプロジェクト、ガンジス,TXN,26,5,5
7/3/02,最終兵器彼女,GONZO DIGIMATION,CBC,13,6,6
7/3/02,陸上防衛隊まおちゃん,XEBEC,TXN,26,10,10
7/4/02,ドラゴンドライブ,マッドハウス,TX,38,8,8
7/4/02,円盤皇女ワるきゅーレ,ティー・エヌ・ケー,KIDS STATION、UHF,12,10,10
7/4/02,ふぉうちゅんドッグす,ベガエンタテイメント,TX,39,10,10
8/16/02,プリンセスチュチュ,ハルフィルムメーカー,KIDS STATION、UHF,26,9,9
8/31/02,魔王ダンテ,マジックバス,AT-X,13,5,5
9/7/02,OVERMANキングゲイナー,サンライズ,WOWOW,26,14,14
9/11/02,ハングリーハート WILD STRIKER,日本アニメーション,ANIMAX、CX,52,21,19
9/26/02,まほろまてぃっく 〜もっと美しいもの〜,GAINAX、シャフト,BS-i,14,19,18
9/30/02,ぷちぷり*ユーシィ,GAINAX、AIC,NHK-BS2,26,9,9
10/1/02,花田少年史,マッドハウス,NTV,25,5,5
10/1/02,ヒートガイジェイ,サテライト,TBS,26,8,8
10/1/02,アソボット戦記五九,エッグ,TX,52,9,9
10/1/02,スパイラル -推理の絆-,J.C.STAFF,TX,25,12,11
10/1/02,よばれてとびでて!アクビちゃん（第2期）,タツノコプロ,KIDS STATION,13,20,20
10/1/02,攻殻機動隊 STAND ALONE COMPLEX,Production I.G,CS,26,25,22
10/2/02,ボンバーマンジェッターズ,スタジオディーン,TX,52,12,12
10/2/02,シスター・プリンセス RePure,ZEXCS,TXN,13,17,16
10/3/02,NARUTO -ナルト-,ぴえろ,TX,220,12,11
10/4/02,プラトニックチェーン,-,TX,24,10,10
10/5/02,カスミン（第2期）,OLM,NHK教育,26,9,9
10/5/02,宇宙大作戦チョコベーダー,-,CX,27,12,12
10/5/02,機動戦士ガンダムSEED,サンライズ,MBS,50,12,12
10/5/02,GetBackers-奪還屋-,スタジオディーン,TBS,49,15,15
10/5/02,真・女神転生Dチルドレン ライト&ダーク,アクタス、スタジオコメット,TX,52,20,19
10/6/02,ペコラ,-,TXN,26,3,3
10/6/02,ギャラクシーエンジェル（第3期）,マッドハウス,TVO,51,16,16
10/7/02,超重神グラヴィオン,GONZO DIGIMATION,CX,13,9,9
10/8/02,キディ・グレイド,GONZO DIGIMATION,CX,24,8,8
10/8/02,りぜるまいん（第2期）,マッドハウス、IMAGIN,UHF,12,11,11
10/9/02,灰羽連盟,RADIX,CX,13,4,4
10/21/02,デュエル・マスターズ,スタジオ雲雀、A・C・G・T,TX,26,10,10
10/23/02,巨人の星【特別篇】 猛虎 花形満,東京ムービー,WOWOW,13,16,14
10/31/02,神世紀伝マーズ,プラム、スタジオガッツ,AT-X,13,7,7
11/2/02,釣りバカ日誌,東映アニメーション,EX,36,6,6
11/4/02,げんき げんき ノンタン,ポリゴン・ピクチュアズ,KIDS STATION,35,12,10
11/11/02,PIANO,OLM,KIDS STATION,10,5,5
11/15/02,奇鋼仙女ロウラン,ZEXCS,KIDS STATION、UHF,28,8,8
11/21/02,ポケットモンスター アドバンスジェネレーション,OLM,TX,192,23,22
11/28/02,冒険者,日本アニメーション,NHK-BS2,26,3,3
11/28/02,ヴァイスクロイツ グリーエン,ufotable,KIDS STATION,13,14,13
12/3/02,ポケットモンスター サイドストーリー,OLM,TX,18,18,17
12/7/02,バロムワン,イージー・フイルム,AT-X,13,5,5
1/2/03,THE ビッグオー（第2期）,サンライズ,UHF,13,14,13
1/3/03,らいむいろ戦奇譚,スタジオ雲雀,UHF,13,8,8
1/4/03,STRATOS 4,スタジオ・ファンタジア,UHF,13,9,8
1/5/03,MOUSE,スタジオディーン,UHF,12,5,5
1/6/03,ガラクタ通りのステイン,-,KIDS STATION,14,11,11
1/6/03,WOLF'S RAIN,ボンズ,CX,30,11,10
1/6/03,爆転シュート ベイブレード Gレボリューション,日本アニメディア,TX,52,23,21
1/8/03,ななか6/17,J.C.STAFF,TX,13,7,7
1/8/03,出撃!マシンロボレスキュー,サンライズ,TX,53,13,13
1/8/03,.hack//黄昏の腕輪伝説,ビィートレイン,TXN,12,14,14
1/8/03,L/R -Licensed by Royal-,ティー・エヌ・ケー,CX,13,23,20
1/9/03,魔法遣いに大切なこと,Viewworks、J.C.STAFF,EX,12,10,10
1/10/03,超ロボット生命体トランスフォーマー マイクロン伝説,アクタス,TX,52,25,24
2/2/03,明日のナージャ,東映アニメーション,ABC,50,7,7
2/2/03,クラッシュギアNitro,サンライズ,NBN,50,12,12
2/5/03,ガンパレード・マーチ 〜新たなる行軍歌〜,J.C.STAFF,UHF,12,20,19
2/17/03,デジガールPOP!,クリエーターズ・ドット・コム,KIDS STATION,26,9,9
2/23/03,魔獣戦線 THE APOCALYPSE,マジックバス,AT-X,13,19,17
3/6/03,天使のしっぽ Chu!,東京キッズ,KIDS STATION,11,11,10
4/1/03,エアマスター,東映アニメーション,NTV,27,6,6
4/1/03,E'S OTHERWISE,ぴえろ,TX,26,13,12
4/2/03,宇宙のステルヴィア,XEBEC,TXN,26,9,9
4/3/03,カレイドスター,GONZO DIGIMATION,TX,26,7,7
4/3/03,D・N・ANGEL,XEBEC,TX,26,9,9
4/3/03,冒険遊記プラスターワールド,アクタス、ブレインズ・ベース,TX,52,13,13
4/5/03,成恵の世界,スタジオ・ライブ,MBS,12,5,5
4/5/03,無限戦記ポトリス,サンライズ、同友アニメーション,TX,52,8,8
4/5/03,魔探偵ロキ RAGNAROK,スタジオディーン,TX,26,14,13
4/5/03,妄想科学シリーズ ワンダバスタイル,ティー・エヌ・ケー,UHF,12,17,16
4/5/03,マーメイドメロディー ぴちぴちピッチ,アクタス、シナジージャパン,TVA,52,18,17
4/5/03,人間交差点 -HUMAN SCRAMBLE-,A・C・G・T,TX,13,22,20
4/6/03,ソニックX,東京ムービー,TX,52,5,5
4/6/03,FIRESTORM,トランス・アーツ,TX,26,9,9
4/6/03,デ・ジ・キャラットにょ,マッドハウス,TVO,104,11,11
4/6/03,金色のガッシュベル!!,東映アニメーション,CX,150,11,11
4/6/03,アストロボーイ・鉄腕アトム,手塚プロダクション,CX,50,13,13
4/7/03,コロッケ!,OLM,TX,104,5,5
4/7/03,DEAR BOYS,A・C・G・T,TX,26,9,8
4/7/03,LAST EXILE,GONZO DIGIMATION,TXN,26,10,9
4/8/03,スクラップド・プリンセス,ボンズ,WOWOW,24,12,12
4/8/03,キノの旅 -the Beautiful World-,A・C・G・T,WOWOW,13,26,23
4/9/03,カスミン（第3期）,OLM,NHK教育,26,9,9
4/11/03,ワンダーベビルくん,RADIX,NHK教育,30,9,9
4/14/03,獣兵衛忍風帖 龍宝玉篇,マッドハウス,WOWOW,13,11,10
4/15/03,探偵学園Q,ぴえろ,TBS,45,5,5
4/16/03,GAD GUARD,GONZO DIGIMATION、アンバーフィルムワークス,CX,26,9,8
4/16/03,TEXHNOLYZE,マッドハウス,CX,22,10,10
5/8/03,SUBMARINE SUPER 99,ベガエンタテイメント,AT-X,13,18,16
5/20/03,ウルトラマニアック,葦プロダクション,ANIMAX,26,9,9
6/16/03,ケロケロキングDXプラス,-,TX,30,12,12
